"","text"
"33","update sadly    second boat product  conk    months  use  guess    end   journey     boat audio  buying   products   brand changed  rating  reflect  samei    market   cheap pair  bluetooth earphones   chanced upon    lightning deal  bought    used boat products    good build quality   sound  alright im writing    month   enough time   lived    get  know quirks   problems  sound  nothing great   bit   bassy side  youre  bass lover   definitely  good buy connectivity  quick  painless    works without hassle every time  quality   connectivity depends   sometimes weird   put  phone  charge  use    distance    meters  worries  sometimes  im walking really fast  jogging   breaks  crackles  audio  sure    material   gym wear   works well   phones   jeans battery life  nothing  write home    listen  music constantly even  im  work  demands  probably  high   price range   sweatproof  advertised  interruptions   light drizzle  got great build quality   price  looks  feels premium doesnt tangle    stays   ear regardless   intensity   exercise   greaton  whole  great buy    looking   cheaper alternative wait   sale   get  thoughlike  reviews please  click  helpful button  encourages   share    products  use thanks "
"34"," headphones  good   beginning    week getting disturbance  left side earpiece  stays  sometime "
"35","audio quality  pretty good   way  speaks bye amigos  turning    also uniqueits durable  designed rightit  mic opening towards   engraved  rest   headphone  completely coveredwhich makes  water resistant  guessonly things    looks weird   leav  hanging around  neck unlike   bluetooth headphones   hard collar kind thing    wire stretching      hangs  low  neck    hard collar kind ones look like small neck accessory  left hangingeither way  liked  product     job battery back  also really good "
"36","close  eyes   go     amazing   price   got    festival sale  costs   rupees   everything perfect   bluetooth earphones  bass  amazing even   sony  jbl bt earphones  sound  crystal clear mic quality  decent  battery life    hours  playback noise cancellation  pretty enough    impressed   earphones   last  earphones  stereo supported    enjoy  songs  also play pubg   bluetooth earphones really  love boat "
"37"," item   rendered defective three times  less  two months  usage  first two times  due  charging issue   third time due  sound distortion   warranty  item   repaired  first two times     registered  compliant   third failure  product  spent  time   service centre    used   completely dissatisfied   reliability   product "
"38","purchased      price  justifies  quality   music purposes   lags bass  still justified   price basic functions dont work  desired like overriding  use  buttons   startup  shutting  voice   annoying could  kept  subtleand also battery drains  quickly   microphone   worst   person    end wont  able  hear  clearly  built quality   cheap  dont expect    durable  long  keep  safealso   used   running  audio started  interrupt regularly     annoying    abstain  using   morning jog    experience  giving    stars "
"39"," reason     average product    pros  excellent   cons also work  itprosgood noise cancellationexcellent sound qualityrange   badgood battery lifeconsthe soft earbuds    small hole      wear  helmet        slight change   angle   earpiece   unable  hear anything   earpiece unless  correct  angledurability  left earpiece   headphones stopped working within  months  use  company repaired   gave  back   time taken     long also  left earpiece projects lower sound   right oneit   inform   bluetooth gets disconnected  going   rangebecomes useless   battery reaches   keeps informing oops battery low  every minute   next  minutes   switches  "
"40"," grear earphones   sceptical   bought     price   less  wireless ear phones bass   point  battery life  approx  hours  hardly feel    ears  mic picks    noise  thats one minus    still hear   sound mic   sensitive    speak almost    still  person  get  "
"41"," got  product     pm immediately opened  package  see   condition  however  came   well packed box   top   amazons insulated cover  invoice opened  headphone  put charging  laptop    minutes  started using itpros connecting   new oneplust  within  time  giving  sound   bold voice stating    connected  boat rocerz  base  really awesome able  hear vocals properly well mounted ear tips helps   use  headphone  longer time call quality  fine    noise cancellation  ok music   good  listen  drivingcons multifunctional    compatible   phone   assumption   could  able  got   next song  previous song noise cancellation    much awesome  yeah  able  listen  voice properly    side   give pause   minutes   song  listening     go back    phone  replay  againoverall   satisfactory deal  worth every rupee  spend       second product  boat  strongly recommend  "
"42","sound quality  good noise cancellation   upto  mark battery quality  decent  charging     enjoy upto hrs  music without  issue "
"43","awesome best budget wireless earphones "
"44","product design  good   durable  best feature   sound quality   design however   didnt liked   battery backup   hardly     hrs  continuously powered   requires   charged atleast x  day overall  would say    good deal     k  max k inr otherwise  wont recommend  "
"45","got   rs   great deal   pricebought  socially  multipoint featuresworks great   mobiles    found   keeps running  connecting issues   windows  laptop  may take    connect back   windows  laptopbattery  okay cant take    whole daydont expect noise cancellation sound  great   enjoy bass another little annoying thing apart  connecting  windows laptop   crackling sound    hear sometime   reason even  close proximity   streaming device "
"46","  product   perfect purchase     charging requested  replacementreplacement  quick   prominent thank  boat teamprossoft feeling wearing  boat rockerze  look also goodthe sound quality  excellent  like  premium brandsi  using   receiving  product without charging    going     battery lasts  full days   happyvalue  moneyconsnot find still  "
"47","proscharge time  hrs  backup   good full day use  hr continuoustwo led colors red  blue   using blue light blinks  every  secsinbuild ringtone trrrin trrrin typeusing  honor x show battery icon   stagesgives warning  low battery   connected  disconnected human voicelightwightgood build qualityi replaced rubber earplugs  piston earphone plugs   pairs comes  package    soft   fineyou  control volume  pc  mobile depends   device  currently playingi  using piston onemore music quality     level   pretty decent bass  balancedconsrange  m  real world plays well  u   room   moment  walk   room  distortion occursmic   sensitive  works fine  far  complains   end    used outside  roomwhen  keep   charging  gets switch        reconnect     big issue first   doubt   batterysound qualitymic quality   using    happy even though   used one  boat mi earphone   samsung earphone phillips  etc "
"48"," got   inr  thats  reason  giving   star rating  casual listeners    decent sound   found   clear  comparable  hires earphones ofcourse   good amount  bass   deep bass instead    muddy bass   else   expect   price    good  casual music   found  little weird  watching movies connectivity  ok   great cause  youll put  phone behind  body like  case u keep ur phone   back pockets    connection gets lost moreover  since    bluetooth  even  range  around m  less build quality seems good   time  tell    another boat product called boat rockerz      flagship product       good product        year    still running  strong though  dont use    daily driver  problem    earpads   really bad shape    similar hopes   product      confused     similarly priced earphones like boult tagg   dont bother    chinese earphones rebranded  marketed  boat  tagg etc   believe   sound  similar   mrp written    basically  maketing gimmick theres  way  kinda earphones could cost   inrand    audiophiles well    one   wont  looking   anyway  thats   happy shopping "
"49","worst product "
"50","nice product  love  sound  bass  purchased    another two   family members   make sure   sound quality  one thing  really concerned    build quality mine replaced  two times till    power button issue   take  days  replace  product first time   days  purchaseing    three months   clame  new replacement   good one lets see  many days    goes "
"51","well  used boat products    good    beforepros  base  good  water resistant   doscription says ipx   earphone box says ipx    even better    update  product description   magnet lock  design con  cable   bit long    control box  side   little hard cable  back  remaining cable shouldnt   longabove    good product recommend    people  wants  buy  cheap  best wireless earphone "
"52","totally disappointed   product  returned  boat rockerz   better   "
"53","  pleased  write  review    talk   pros  conspros good bass sturdy great look good noise cancellationcons forget buying     planning  use   gaming like battle royale games    issue   latency  bluetooth lag   hear  noise  seconds   fire  gun disspointed battery backup max     hours   continously use   low volume wrong place   charging port  installed difficult  plugin  plug  "
"54","really like  base  sound quality   price  good  listen  music    bose  qc  im using    day  day basis  carrying qc wherever  go   practical  going  headphone   quite enough   music need   microphone  working  expectedthe  issue    headphone doesnt announce  battery percentage however  oneplus  shows headphone battery  connected  headphone give  annoying message battery  low   onwards "
"55","  brought  piece  reading lot  reviews etc   purchased  started using  turned   said battery low  thats fine  initial product charged battery full  started using   started reconnecting   time  sound started disappearing   checking  range   manual  said m   saw   placed  mobile  shirts pocket   perfect  working    moved   pants pocket  disconnected  reconnected    kept happening   charge   totally waste  time  value   tried many times  got  know   small range one  doesnt come  proper range "
"56"," bad     months   one earphone   working  one year warranty  useless  service centre service    help  waste  money  "
"57"," bluetooth  earphone     beast     amazing  bass  sound quality    mind blowing    product   value  money   suggeste   buy     looking   amazing  earphones   rs    earphones     good range  provide   usage time    hrs   charge     mins  "
"58","sound quality  worst "
"59","got  delivery todayinitial impressionsthe audio  really goodnice basscomfortable fitaudio    hours  usage  right earphone stopped workingaudio output  right earphone    loud  left earphone "
"60","hi  bought     amazon   tell    found   worth  bought   seeing  star rating  amazon users  seriously  worth  stars bass may     sound   powerfull  sharp  tried  switch  plug  ear phone  boat wireless  found   sound   great although bass may     user  mentioned  mic   good   also feel   arr looking  style   doesnt look stylish  earphone wires  come  behind  front   looks odd noise cancellation  good ear comfort  okif    buy   would rather  wireless earphone   bucks  metro station amd may feel disappointed rather  spending  buck  feeling disappointedthis product     range      maxstill   need something desperately wireless    affordable cost   okhave heard   colleagues   may find  good wireless earphone  ali express "
"61","good bluetooth   ear headphonessound quality  decentmay seem  little thin takes time  get used   definitely  bad  poorbattery life   decent around  hrs  connectedbuild quality  good though  need  b  little carefulall    value  money deal  especially sweet since  got    attractive deal price  inr    great indian amazon sale "
"62","let  tell    product  details sound quality  good   harmless  ears   loud  traffic noise cant disturb   listening music look  awesome  wires   lengthy battery backup  awesome six  seven hours     hours chargingbut product   charging   two days  purchase     acceptable thats   rating  one lesser  one   available thoughi  change  ratings  review     replacement  refund   productand one  thing   put  deep   thing   ears  might  painful   minutesregardssiddharth "
"63","product  working within  month  purchase "
"64","  priced around k initially   definitely know  doesnt worth   got    offer  rsk still    worth  price    looking   stuff without   plug   mm jack   mobile    serves  purpose        music lovers  wants  listen  music  long hours   minutes  starts hurting   started  develop earheadache   continue  listen    hr definitely  suitable  laptops   keeps disconnecting frequently   reason recently  starts      mobiles  well battery   great  daily  hours  hearing battery lasts max  days  string  annoyingly long  dangles upto  stomach   seen earphones  reasonable length  one  awkwardly designed  cannot wear  without getting attention  onlookersif   ready  spend another  bucks go  good brands like jbl senheiser etc   want  cut cost well    best among   worsts   market "
"65"," got    must say   build quality  great coming   sound   really good bass cant comment   battery yet    got    update  review later  checking  battery backupedit   using    days  battery easily lasts   day  half  per  usage  includes  hrs  music one movie hrs  one episode  tv series mins  end    battery left  per  usage "
"66"," headphones  good however  first one broke within one month  boat replaced   kudos battery life  enough  one  half   gym sessions  id say   hrs sound  clear  good depth "
"67"," bought  earphones   march  experience   headphones  quite great  got delivery  time packing  great  sealed  talking  functioning  comes   sound quality   love bass  good enough  make  toes move mic   good quality noise cancellation could   even better   think thats great   price range works  dual phone     m radius battery backup  good though    min charge system full battery charging takes time buttons  working well build quality  superb  short   go      thinking  buy  "
"68"," terms  price range    good earphone    best one sound quality  good  issues  battery life  also feels  comfortable around  neck sometimes  connection  breaking    travelling  vehicle      big issue   happens rarely   thing     liked   length  cable   really  bit long   make  disturbance   especially     listening  music  casually hangs    neck however  magnetic effect  working  fine "
"69","   badthis ear phones could  completed even  month      daysand  battery getting heated battery running time getting shorter   time today  play   hour next thing      days since  one side earhone   workingfeeling cheated "
"70"," bass  sound clearity   awesomevery comfortablecall quality  also awesomebut  battery seems  oki got  product delivered yesterday  unboxing  product  noticed   battery     continuously used   like  hours   battery  came       used   like hours   battery  still day   morning  used    like  minutes suprisingly  battery  still     amazedlater  dint use  till  eveninglater     used  continuously till  pm  yes  battery  still   real problem occurs    dinner   relaxing   balcony     phone call suddenly  started getting beep sounds   new boat  earphones    checked  battery      like whaaattttt seriously like mins    still     nowhere suddenly  went     really pissed    within  seconds battery  totally deadhorribleill check   tomorrow   still   problem persist ill   replace  item   build quality sound call quality  really goodthats    amigos "
"71"," wire   band   ears   long previously   using skull candy   lost  went    cheaper option skull candy wire length  perfect  boats rockerz   wire   long  keeps bumping   neck   run  sound   wire hitting  neck echoes   ear pieces also    floor exercises  longish wire hangs uncomfortably around  neck sound quality  battery life  decent   price though    plan  buy   casual listening go ahead wouldnt recommend  serious workouts "
"72","better  price range   best  use microphone quality  like wired headphone   good  hearing music  also  talking  ur love ones  night best   ur budget     ur budget    go true wireless    u  miss  microphone quality u   speak louder good  daily use bass   best  okay type   price range  wireless headphone neon  black colour  good   three colours look awesome noise cancellation    much  fit properly u  use  gym heavy workout  due  neckband  little heavier  feeling  wired around neck    bluetooth headset    much long lasting coz u   charge  battery  one day  one year may  battery get damaged dont charge  frequently   less     charge  headphone battery backup  continues use  starting    hrs   standby mode u  use   days  u get  u  forget ur phone  whenever call  come u dont   run  use ur connected headset  receive  call  u  also pair smart watch   headset together "
"73","  bought  earphone   replaced   finally   get refund   returned  second time thanks amazon  seller  initiating  refund     sound specialist     good listener  first lengthy review  belowpros bass really heavy bass  listening  music double press invokes  last phone call    go call   riding  bike   useful  call  wife    use   wearing  helmet really good wires  sturdy  life   earphone  assured neck design  u like  easy  connect rangeconnectivity  good even    many obstacles  betweencons mic    end   neck design ie  closer  mouth    person   call cant hear properly mic picks   many noise   mems   bass   everything  music  much  bass even equalizer adjustments  reduce  bass   help battery life  mediocre  compared  othersi  bought mi basic bluetooth headset  returning thispros dynamic enjoyable bass even  higher volume mic noiselesscons wire quality  poor   keep  carefullycheers "
"74"," light  well built doesnt feel bulky battery lasts  hours could   little longer   fine volume  power buttons   good quality excellent noise cancellation sound quality  something  didnt expect   level  good  good good punch high frequencies  delivered well deep  rich bass loved  bluetooth works flawlessly "
"75","worth buying  product     limitted budget   kjust  note  earphone comes  bluetooth v   csr  chipset     confusion  amazon   desc  mentioned  however  pictures  shown    seller  selling us version  please amazon correct  customers would face  loss  case   mis communicationtalking  build quality sound clarity  looksi personally liked  bass  really good  noise  hearing    listening   good melody songs  would dive   music look wise  depicted  pictures  looks different   black  redi use  jogging  excersise   fit  good  wont get dropped offbattery  ok   getting around  hrs   one full charge battery capacity could   increased  least   hrs  boat   worries "
"76","bought   months backpros good sound nice battery back  light  neck  good   listening  musiccons  really bad  using    actual purpose   got  noise cancellation hence people  nt  able  hear  clearlymy advice avoid buying    cant return  "
"77","pathetic quality "
"78","  sweat proof   clear   malfunction   run  treadmill wearing itsound  goodbattery  goodbut   full sweatproofalso  stop working  one month "
"79","cant compare  sony    branded ones    price  good silicon material good  wear  feeling  like   carrying    neck   comfortable   around  neck due  good silicon material      ear canal type speakers  eed  really push  inside  canal st     enjoy real beats  bass   wear  superficially sound wont look great  far battery  durabilitysound price   best one "
"80"," buyed  product   stopped working   monthsthe  sale service  boat   bad  pathetic  "
"81","ive  using   past  months nowat first glance  product seems good      purpose  wireless audio earphoneoperation wise    things  annoys   lot  charging theres  led indicator  sometimes  cable  loose  something  wont know    charging  onoff switch   ux friendly  cant tell  touch  youre pressing  volume buttons  power button  buttons  diamond shaped extremely annoying  youre   hurry  bluetooth pairing   intuitive    switch  phone bluetooth    earphone   switch   earphone    phone bluetooth  earphone wont initiate pairingi know    problem  iphone   previous bluetooth used  work  way     stupid     restart  earphone double press  volume buttons doesnt perform nextprevious function  earphones  capable    basic function occasional buzz  distortion sometimes    buzzing distortion  restart   earphone  goes away "
"82"," sound output  great  built quality  also looks good  battery backup  absolutely phenomenal  brand  also  reliable   provide free pickup    face  problem within  warranty period  got  product     "
"83","boat rockerz bt headphone product quality  decent sound quality  good works perfectly   inear headphone   wont hear much outside noise  even outside sounds  youre plugged    hear audio assists   switch   pair   bluetooth switch  etc    good feature placement   earpiece  problematic  found  difficult  place  initially   figured   later    days  use  ear hurts     placing   ear  thats  bad thing  noticed   headset attracts  lot  dust  used    black headset   see dust particles sticking  "
"84","   using  headset   months  battery life  pathetic  might huff  puff   hrs   annoying  battery  low notification starts piercing  ears  noise cancellation  avergae   mic   biggest let    use   calls      room  sound gets diffused   sound  ceiling fan makes    party    lots  difficulty hearing us   ear pains  lot  half  hour  usage due   earholder kind  thing provided   buds  wont recommend   anyone    watched  lot  reviews  buying   reviews  rating  pretty high    learned one thing   go solely   reviews  buying things   kinds  manufacturers  might  paid oneshappy shopping "
"85","consthese earphones   tell remaining battery till    low  button     know battery lifeafter battery gets low  dont last    mins   also voice assistant keeps shouting battery low  become unusablemore earbuds     sizes   fit allpros boat  best  sales support   company comes close   repair  replacements  completely hassle free     purchased thesesound quality  goodbuild quality  goodwater resistantbattery lasts sufficiently long  "
"86"," dont usually write reviews  products   must    one  let people know   issues   facing   try  cover  aspects   earphones   reviewreliabilitythe earphones get disconnected   time   dont use   like  hours   frustrating since    start  earphones first  picking   call also   pick   call  dont know whether  use phone  earphones  speak since  dont know whether   connected though  small issue  really frustrating trust meexperiencethe earphones  pretty useful  give  kinds  signals    plugged    ear like connected disconnected battery low     frustrating   battery low signal      beep   long sentence  says oops battery low  keeps  repeating every  seconds  really annoys    battery  low    beep      every time bugging    good experiencealso  takes  bit  long  power   power     press  button  like  secondssound qualitythe first song  listened   earphones sounded really terrible  high bass    really bad       much sound detailsbuild qualitybuild quality  really good  issues  thatbattery lifesatisfied  battery life   doesnt last  long  promised    okay   "
"87","pros product quality goodsound good light weightbattery time playback time   goodconnectivity averageconsafter  min yr ears feeling presuregood connectivy  phone   rangesome times  feel  lil slage  connectivity  silenting music    product  daily bike commuters due  low noice cancellationoverall good product  bases  prices "
"88","honestly first bummer  packagingit looks like   already openedthe package got little torn tape looks   place also earphones inside also didnt looked like fresh packaging  really looks like   used beforebut  could  wrong   could   bad packaging alsosound  good though  average loud    good range  good   easily use   moving   house   always feel  disturbance  playingalso  tried connecting  multiple devices      done   connected   device first  gotta disconnect      connected "
"89","  days  use   writing  review   got   rs  battery life almost  hours  music    problem   built  quality good  importantly sound quality  awesome may  good  u like bass  great  good choice  vocal sound  seemed lower  sometimes  crystal clear   senheiser cx  costs rs produces much crisp sound  bassbut overall  rs     good deal "
"90","hello  bought  product  big sale going   got      good deallater     k dont buy   price waste  moneysound n bass  awesomebattery  sure yetsongs cant  changed using music keys  music key functions  uncertainmusic starts playing  phone suddenly   calldouble tapping  playstop button dials last caller   greatest con   product "
"91","  already used boat earphone   quite satisfied   performance interms  sound  bass however  didnt expect  much  boat rockers   tremendously performing great sound clearance noice cancellation bass  never gonna feel  headache     talk  battery  works  hours  day continueslywell fitted  ear without  pain got  deal  lightning price  thanks amazon  provide  deal  swift delivery   faith "
"92","good    weeks    battery heated  drastically  melted  rubber buttons  luckily stopped charging  time else may  even caught fire   buttons  fused   product cant  usedhope amazon  promptly replace  defective product "
"93","amazon packaging      mark  comes   plastic ploybag    outer bag  internal protection per sedurability  looks sturdy package also says sweat resistant  delicate part   charging port flap psound   rockss bass  well  treblesone good thing   wont let  increase  sound beyond  threshold via headphones  u     phone pnoice cancellation  awesomefelt slightly  protruding needs   inserted deep  ear otherwise chances  falling      ground btwpackage contains  charging cable  cm long  pairs  buds  different sizes warranty card  manualcolour  red  black matt finishits post delivery feedback   idea  battery backup charging sweat proof  add later "
"94","ive  lately using  lot  products  boat  product   offer  thought  ordering  samei  using base heads  beforewhen compared directly    earphone    great  terms  base    earphone  wireless  takes away   things  quiet light weight    price   awesome     earphone   easy  connect   quiet reliable  one  wear whole day  wont even feel   sound quality      base side    someone  love good base       give   try   product wont disappoint   service  boat  way ahead   brands "
"95","writing  review  using boat  wireless headset  jbk tbti must say  boat  got excellent bass  sound quality compared  jbl onesuperb sound quality  built  comfortable  ears value  money "
"96","dear alllet  write  genuine review   productthe product  delivered  timeguys   using  product since  last month    discovered  excellent productthe product  much better  compare   costly international brandslikes  excellent bass noise cancellation support value  moneydislikes  expect  form  local brand  terms  quality  material used eg plastic quality  packaging boxoverall suggestion  buy   price "
"97"," cant get enough   earphones sound qulity   clear  highs  lows battery life    expected   bluetooth earphone   showing    day battery life   quality   material used   nice   happier  expected  thank  amazon  fast delivery "
"98"," purchased  one month back  comparing    many products    surprise noice cancellation  bass  sound quality   product   amazing even compared  jbl livebt  costs around    headphone  far better  jbl onejust go     want    good wireless headphones   price rangeonly con  came across   battery indicator   working properly  suddenly jumps   percent  low battery  actual battery life   claimed around  hours "
"99"," unpacked  pairing   easy   able  pair    oneplus   laptop  pairing  phone first  switched   bluetooh  phone  paired   pc  switched   bluetooth  phone played music  pc    received  call   phone  headset goes silent   music automatically pauses exactly  way  wanted however one drawback     phone call ends  music doesnt resume automaticallysound quality  goodgood basscomfortable  wear "
"100","would  used hardly     hours since  got  product     charge  return window already crossed   total loss   amazon stop selling  substandard products plz "
"101","   good quality ear phones  durable wire   wire   hard   flexiable  big compared   earphones  doesnt fit   pocket  sure    magnetic base  combines two sides    use  major thing    ear phones  bought cannot  returned  replacement option  available  amazon   quite disappointing "
"102"," purchase    eyes closed man   bucks noone  ever give    bass  good audio quality wireless bluetooth earphone  dont think  muchi dont know   lasting   product  feeling  build  seems  premium    first day usage reviewwriting   months  usingone  earbud stopped working without  reason todaypathetic product  must say  "
"103","dont go   product   seen  reviews  purchased     surprise  ear phones   bad  producing  decent bassinstead  bass   heavy  even  bass head like    find  good  heavy  use   longer times u might end  hurting ur ears "
"104","let  tell   dont buy  yes  true    best product   get   price  doubt   definitely    best product   buyproblems faced battery  pathetic mostly gives  hours  playtime  earphones get disconnected   even go   next room sound   low    use rd party equalizer  listen clearly  bass  also  good   rely   rd party appsthe  thing  boat    good warranty service   problems   device make   garbage af "
"105","   good buy sits comfortably around  neck earpiece  good  feels sturdynoise cancellation  surprisingly good   price range  phone calls person    end hears  less background noisesound quality  good  android  iphone  sound tends  get crackling  high volumes  equaliser    complains  flat soundwires   bit long   get used     whilemy  issue     bt earphones   price bracket    voice breaking   keep  phone   pocket jeans  walk  audio starts  break     reposition  neckband   happened quite  number  times  used    tagg inferno  mivi thunderbeats    issue   one tooto summarise worth buying    "
"106","  really glad    product  previous one  boat  boat rockerz  whose sound quality  bass   fabulous  call quality dissapointed    one really  excellent  think  made  right choice    great product really awsome product  best call quality  best durability  excellent sound quality   decent battery backup  else one need   product ranging around  k really   loved  "
"107","product received  time    issue  sharing  experience     decide   go   product onlyduring calls suddenly  goes blankthere   noise cancellation    working properly  always people  call ask    outside   getting  many noisei  ordered replacement   days  received serviced item may    someone used  returned  boat  issue persist    dont know        using   important office calls   using  hearing music  watching movies  replacement process  good   come  collect  product  return using courier   raise ticket online  problem rectified   thats matteroverall  suggestion  experience  could say dont go   product   really want  use   official purpose "
"108","got   sale   disappointed   earlier jbl wireless headphones      good quality   lost  saw ad   wireless headphones  newspaper  decided  buy   already use boat    awesome   got disappointed      speak  loudly  order   voice  reach   party  looks  weird  public   feel  quality  also  upto  mark amazon  feel knew    thats     sale  non returnablei   stuck       recommend   buy   allthanks "
"109"," one month nd gone product sucks please dont buy  finding  service centres  well "
